,type,coordinates,date,lon,lat
0,Point,"[74.9491663991937, 31.57870897732087]",10-10-2019,74.9491664,31.57870898
0,Point,"[74.84858479368752, 31.865723952822822]",15-10-2019,74.84858479,31.86572395
1,Point,"[74.61603471629257, 31.679267663982916]",15-10-2019,74.61603472,31.67926766
2,Point,"[74.63285764894474, 31.67840939526364]",15-10-2019,74.63285765,31.6784094
3,Point,"[74.69914135648436, 31.61491471520022]",15-10-2019,74.69914136,31.61491472
4,Point,"[75.19316272430147, 31.56740138567177]",15-10-2019,75.19316272,31.56740139
0,Point,"[74.87586338099061, 31.850562178391808]",25-10-2019,74.87586338,31.85056218
1,Point,"[74.8975561543575, 31.947474527967692]",25-10-2019,74.89755615,31.94747453
0,Point,"[75.44878905989474, 30.228870189588985]",04-11-2019,75.44878906,30.22887019
1,Point,"[75.51638371296715, 30.22883953757966]",04-11-2019,75.51638371,30.22883954
2,Point,"[75.50986880463905, 30.21241965101547]",04-11-2019,75.5098688,30.21241965
3,Point,"[75.49464464493161, 30.207839427072066]",04-11-2019,75.49464464,30.20783943
4,Point,"[75.50674343184309, 30.18817061631081]",04-11-2019,75.50674343,30.18817062
5,Point,"[75.55330004069673, 30.296863611085]",04-11-2019,75.55330004,30.29686361
6,Point,"[75.57192924524203, 30.329896697474286]",04-11-2019,75.57192925,30.3298967
7,Point,"[75.44966342950717, 30.374752331751544]",04-11-2019,75.44966343,30.37475233
8,Point,"[75.44889521497883, 30.38972727982707]",04-11-2019,75.44889521,30.38972728
9,Point,"[75.3936382710811, 30.39947777083576]",04-11-2019,75.39363827,30.39947777
10,Point,"[75.37196257981641, 30.458218854436904]",04-11-2019,75.37196258,30.45821885
11,Point,"[75.63984298224665, 30.46917648090955]",04-11-2019,75.63984298,30.46917648
12,Point,"[75.64559363837458, 30.465699469356416]",04-11-2019,75.64559364,30.46569947
0,Point,"[75.1650961090305, 30.2923273576003]",04-11-2019,75.16509611,30.29232736
1,Point,"[75.1149174741983, 30.479003321880647]",04-11-2019,75.11491747,30.47900332
2,Point,"[75.11836053056079, 30.564461451794752]",04-11-2019,75.11836053,30.56446145
3,Point,"[74.88099608044307, 30.22143863426165]",04-11-2019,74.88099608,30.22143863
4,Point,"[74.86299793836373, 30.18687630026303]",04-11-2019,74.86299794,30.1868763
5,Point,"[74.78863074457891, 30.1498958845964]",04-11-2019,74.78863074,30.14989588
6,Point,"[74.72023187353467, 30.165830219402554]",04-11-2019,74.72023187,30.16583022
7,Point,"[75.00333364625045, 30.018657882559214]",04-11-2019,75.00333365,30.01865788
8,Point,"[75.23003047629813, 30.084787704947036]",04-11-2019,75.23003048,30.0847877
0,Point,"[74.70141583718801, 30.586640947945927]",30-10-2019,74.70141584,30.58664095
0,Point,"[74.78235502068942, 30.674236402239078]",04-11-2019,74.78235502,30.6742364
1,Point,"[74.75751701376062, 30.6515357940128]",04-11-2019,74.75751701,30.65153579
0,Point,"[76.1699614556865, 30.649312387386495]",04-11-2019,76.16996146,30.64931239
1,Point,"[76.26408933381124, 30.818611009864192]",04-11-2019,76.26408933,30.81861101
2,Point,"[76.49417723714325, 30.669003587439036]",04-11-2019,76.49417724,30.66900359
3,Point,"[76.44361331506285, 30.468120791098816]",04-11-2019,76.44361332,30.46812079
4,Point,"[76.46997409648591, 30.747306120990977]",04-11-2019,76.4699741,30.74730612
0,Point,"[74.26614068603519, 30.172026927027066]",30-10-2019,74.26614069,30.17202693
1,Point,"[73.98459244187167, 30.27798003746704]",30-10-2019,73.98459244,30.27798004
0,Point,"[74.29424853019181, 30.502592763870034]",04-11-2019,74.29424853,30.50259276
1,Point,"[74.26184830574542, 30.522463813988683]",04-11-2019,74.26184831,30.52246381
2,Point,"[74.19658505710854, 30.41377852812204]",04-11-2019,74.19658506,30.41377853
